检测到 53 个点

颜色统计:
  orange: 14 个
  red: 10 个
  yellow: 29 个

详细坐标:
X	Y	颜色	半径
177	386	orange	7.18
207	351	orange	7.01
310	336	orange	7.05
262	309	orange	2.33
307	289	orange	7.08
366	280	orange	7.07
310	253	orange	6.98
354	250	orange	7.05
216	244	orange	7.02
322	230	orange	7.06
227	221	orange	7.15
202	38	orange	2.15
205	23	orange	4.64
187	1	orange	2.74
349	507	red	3.97
373	468	red	1.78
425	440	red	3.34
433	396	red	1.78
132	171	red	4.46
236	146	red	2.49
156	138	red	3.63
229	122	red	2.11
186	117	red	3.99
231	100	red	1.91
263	637	yellow	2.88
72	475	yellow	1.99
339	441	yellow	1.99
460	372	yellow	6.88
234	338	yellow	3.70
271	323	yellow	2.90
250	122	yellow	2.52
270	105	yellow	4.95
445	39	yellow	1.95
283	38	yellow	1.91
220	35	yellow	1.87
467	38	yellow	1.87
384	38	yellow	2.39
121	37	yellow	1.78
63	38	yellow	1.99
394	37	yellow	2.46
147	36	yellow	1.95
235	30	yellow	1.78
379	27	yellow	1.78
311	23	yellow	1.78
121	23	yellow	1.78
108	22	yellow	1.99
272	21	yellow	2.36
180	22	yellow	2.52
383	17	yellow	1.78
64	15	yellow	2.46
455	14	yellow	1.78
420	14	yellow	1.91
158	12	yellow	2.52
